Sample	Sum of remaining over-represented sequences	Top over-represented sequence
SRR1300451.trim_1P	0.0	0.0
SRR1300452.trim_1P	0.0	0.0
SRR1300453.trim_1P	0.0	0.0
SRR1300454.trim_1P	0.0	0.0
SRR1300455.trim_1P	0.0	0.0
SRR1300456.trim_1P	0.0	0.0
SRR1300457.trim_1P	0.0	0.0
SRR1300458.trim_1P	0.0	0.0
SRR1300459.trim_1P	0.0	0.0
SRR1300460.trim_1P	0.0	0.0
SRR1300461.trim_1P	0.0	0.1201847404410773
SRR1300462.trim_1P	0.0	0.0
SRR1300463.trim_1P	0.0	0.0
SRR1300464.trim_1P	0.0	0.0
SRR1300465.trim_1P	7.608609660073641	3.0728562419895864
SRR1300466.trim_1P	4.927580172519952	1.3099756829021851
SRR1300467.trim_1P	7.560126147945045	0.8220108108136657
SRR1300468.trim_1P	6.703161153322201	2.475903203655158
SRR1300469.trim_1P	12.553029934558216	1.4462143217335985
SRR1300470.trim_1P	0.0	0.0
SRR1300471.trim_1P	0.0	0.0
SRR1300472.trim_1P	0.0	0.0
SRR1300473.trim_1P	0.0	0.0
SRR1300474.trim_1P	0.0	0.0
SRR1300475.trim_1P	0.0	0.0
SRR1300476.trim_1P	0.0	0.0
SRR1300477.trim_1P	0.0	0.0
SRR1300478.trim_1P	0.0	0.0
SRR1300479.trim_1P	0.0	0.0
SRR1300480.trim_1P	0.0	0.0
SRR1300481.trim_1P	0.0	0.0
SRR1300482.trim_1P	0.0	0.0
SRR1300483.trim_1P	0.0	0.0
SRR1300484.trim_1P	0.0	0.0
SRR1300485.trim_1P	0.0	0.0
SRR1300486.trim_1P	0.0	0.0
SRR1300487.trim_1P	0.0	0.0
SRR1300488.trim_1P	0.0	0.0
SRR1300489.trim_1P	0.0	0.0
SRR1300490.trim_1P	0.0	0.0
SRR1300491.trim_1P	0.0	0.0
SRR1300492.trim_1P	0.0	0.0
SRR1300494.trim_1P	0.0	0.0
SRR1300495.trim_1P	1.0403922069653984	0.25132094677804157
SRR1300496.trim_1P	0.0	0.0
SRR1300497.trim_1P	0.0	0.0
SRR1300498.trim_1P	0.0	0.0
SRR1300499.trim_1P	0.0	0.0
SRR1300500.trim_1P	0.0	0.0
SRR1300501.trim_1P	0.0	0.0
SRR1300503.trim_1P	0.0	0.0
SRR1300504.trim_1P	0.0	0.0
SRR1300505.trim_1P	0.0	0.10065898503152783
SRR1300506.trim_1P	0.0	0.0
SRR1300507.trim_1P	0.0	0.0
SRR1300508.trim_1P	0.0	0.0
SRR1300509.trim_1P	0.0	0.1113323434987262
SRR1300510.trim_1P	0.0	0.0
SRR1300512.trim_1P	1.8875592747927563	0.23646375977295517
SRR1300514.trim_1P	0.0	0.0
SRR1300516.trim_1P	0.0	0.0
SRR1300518.trim_1P	0.0	0.0
SRR1300519.trim_1P	0.0	0.0
SRR1300520.trim_1P	0.0	0.0
SRR1300521.trim_1P	0.0	0.0
SRR1300522.trim_1P	0.0	0.0
SRR1300523.trim_1P	0.0	0.0
SRR1300524.trim_1P	0.0	0.0
SRR1300525.trim_1P	0.0	0.0
SRR1300526.trim_1P	0.0	0.0
SRR1300527.trim_1P	0.0	0.0
SRR1300528.trim_1P	0.0	0.0
SRR1300529.trim_1P	0.0	0.0
SRR1300530.trim_1P	0.0	0.0
SRR1300531.trim_1P	0.0	0.11379903536658136
SRR1300532.trim_1P	0.0	0.0
SRR1300533.trim_1P	0.0	0.0
SRR1300534.trim_1P	0.20219733219660652	0.26037410845608194
SRR1300535.trim_1P	0.11375394180536935	0.14474326421011402
SRR1300537.trim_1P	0.0	0.0
SRR1300538.trim_1P	0.0	0.0
SRR1300539.trim_1P	0.0	0.0
SRR1300540.trim_1P	0.0	0.0
SRR1300541.trim_1P	2.0838051968171425	0.39171082834586296
SRR1300542.trim_1P	0.10148952137549008	0.14689464662365556
SRR1300543.trim_1P	0.0	0.0
SRR1300544.trim_1P	0.0	0.0
SRR1300545.trim_1P	0.0	0.0
SRR1328074.trim_1P	0.9557390110355818	0.34106897662355273
SRR1328075.trim_1P	0.8231912939112319	0.2482924845691016
SRR1328076.trim_1P	2.2224324235927826	0.762066244961932
SRR1328077.trim_1P	2.1874943043710946	0.7143354215925226
