Sample	Sum of remaining over-represented sequences	Top over-represented sequence
SRR1296749.trim_1P	0.0	0.0
SRR1296750.trim_1P	0.0	0.0
SRR1296751.trim_1P	0.0	0.0
SRR1296752.trim_1P	0.0	0.0
SRR1296753.trim_1P	0.0	0.0
SRR1296754.trim_1P	0.0	0.0
SRR1296755.trim_1P	0.0	0.0
SRR1296756.trim_1P	0.0	0.0
SRR1296757.trim_1P	0.0	0.0
SRR1296758.trim_1P	0.0	0.0
SRR1296759.trim_1P	0.0	0.0
SRR1296760.trim_1P	0.0	0.0
SRR1296761.trim_1P	0.0	0.0
SRR1296762.trim_1P	4.824696860854985	0.3946918401777885
SRR1296763.trim_1P	0.0	0.0
SRR1296764.trim_1P	0.0	0.0
SRR1296765.trim_1P	0.0	0.0
SRR1296766.trim_1P	0.0	0.0
SRR1296767.trim_1P	0.0	0.0
SRR1296768.trim_1P	0.0	0.0
SRR1296769.trim_1P	0.12197519295675313	0.2538613041608256
SRR1296770.trim_1P	0.0	0.0
SRR1296771.trim_1P	0.0	0.0
SRR1296772.trim_1P	0.0	0.0
SRR1296773.trim_1P	0.0	0.0
SRR1296774.trim_1P	1.5690137171098986	0.6249850832087089
SRR1296775.trim_1P	0.0	0.0
SRR1296776.trim_1P	0.0	0.0
SRR1296777.trim_1P	0.0	0.0
SRR1296778.trim_1P	0.0	0.0
SRR1296779.trim_1P	0.0	0.0
SRR1296780.trim_1P	0.0	0.0
SRR1296781.trim_1P	0.0	0.0
SRR1296782.trim_1P	0.0	0.0
SRR1296783.trim_1P	0.0	0.0
SRR1296784.trim_1P	0.0	0.0
SRR1296785.trim_1P	0.0	0.0
SRR1296786.trim_1P	0.0	0.0
SRR1296787.trim_1P	0.0	0.0
SRR1296788.trim_1P	0.0	0.0
SRR1296789.trim_1P	0.0	0.0
SRR1296790.trim_1P	0.0	0.0
SRR1296791.trim_1P	0.0	0.0
SRR1296792.trim_1P	0.0	0.0
SRR1296793.trim_1P	0.0	0.0
SRR1296794.trim_1P	0.0	0.0
SRR1296795.trim_1P	0.0	0.0
SRR1296796.trim_1P	0.0	0.0
SRR1296797.trim_1P	0.0	0.0
SRR1296798.trim_1P	0.0	0.0
SRR1296799.trim_1P	0.0	0.0
SRR1296800.trim_1P	0.0	0.0
SRR1296801.trim_1P	0.0	0.0
SRR1296802.trim_1P	0.0	0.0
SRR1296803.trim_1P	0.0	0.0
SRR1296804.trim_1P	0.0	0.0
SRR1296805.trim_1P	0.0	0.0
SRR1296806.trim_1P	0.0	0.0
SRR1296807.trim_1P	0.0	0.0
SRR1296808.trim_1P	0.0	0.16119121451663276
SRR1296809.trim_1P	0.10704329599072279	0.2215900497578492
SRR1296810.trim_1P	0.0	0.0
SRR1296811.trim_1P	2.155731742120644	0.5151117527287411
SRR1296812.trim_1P	0.38320751302303524	0.16551455193217346
SRR1296813.trim_1P	0.0	0.0
SRR1296814.trim_1P	0.0	0.0
SRR1296815.trim_1P	0.0	0.0
SRR1296816.trim_1P	0.0	0.0
SRR1296817.trim_1P	0.0	0.0
SRR1296818.trim_1P	0.0	0.0
SRR1296819.trim_1P	0.0	0.0
SRR1296820.trim_1P	0.0	0.0
SRR1296821.trim_1P	0.0	0.0
SRR1296822.trim_1P	0.0	0.0
SRR1296823.trim_1P	0.0	0.0
SRR1296824.trim_1P	0.0	0.0
SRR1296825.trim_1P	0.0	0.0
SRR1296826.trim_1P	0.0	0.0
SRR1296827.trim_1P	0.0	0.0
SRR1296828.trim_1P	0.0	0.0
SRR1296829.trim_1P	0.0	0.0
SRR1296830.trim_1P	0.0	0.0
SRR1296831.trim_1P	0.0	0.0
SRR1296832.trim_1P	0.0	0.0
SRR1296833.trim_1P	0.0	0.0
SRR1296834.trim_1P	0.0	0.0
SRR1296835.trim_1P	0.0	0.0
SRR1296836.trim_1P	0.0	0.0
SRR1296837.trim_1P	0.0	0.0
SRR1296838.trim_1P	0.0	0.0
SRR1296839.trim_1P	0.0	0.0
SRR1296840.trim_1P	0.0	0.0
SRR1296841.trim_1P	0.0	0.0
SRR1296842.trim_1P	0.0	0.0
SRR1296843.trim_1P	0.11451706913516797	0.12168692066158175
SRR1296844.trim_1P	0.0	0.0
SRR1296845.trim_1P	0.0	0.0
SRR1296846.trim_1P	0.0	0.0
SRR1296847.trim_1P	0.0	0.0
SRR1296848.trim_1P	0.0	0.0
SRR1296849.trim_1P	0.0	0.0
SRR1296850.trim_1P	0.0	0.0
SRR1296851.trim_1P	0.0	0.0
SRR1296852.trim_1P	0.0	0.0
SRR1296853.trim_1P	0.0	0.0
SRR1296854.trim_1P	0.0	0.0
SRR1296855.trim_1P	0.0	0.0
SRR1296856.trim_1P	0.0	0.0
SRR1296857.trim_1P	0.0	0.0
SRR1296858.trim_1P	0.0	0.0
SRR1296859.trim_1P	0.0	0.0
SRR1296860.trim_1P	0.0	0.0
SRR1296861.trim_1P	0.0	0.0
SRR1296862.trim_1P	0.0	0.0
SRR1296863.trim_1P	0.0	0.0
SRR1296864.trim_1P	0.0	0.0
SRR1296865.trim_1P	0.0	0.0
SRR1296866.trim_1P	0.0	0.0
SRR1296867.trim_1P	0.0	0.0
SRR1296868.trim_1P	0.0	0.0
SRR1296869.trim_1P	0.0	0.0
SRR1296870.trim_1P	0.0	0.0
SRR1296871.trim_1P	0.0	0.0
SRR1296872.trim_1P	0.0	0.0
SRR1296873.trim_1P	0.0	0.0
SRR1296874.trim_1P	0.0	0.0
SRR1296875.trim_1P	0.0	0.0
SRR1296876.trim_1P	0.0	0.0
SRR1296877.trim_1P	0.0	0.0
SRR1296878.trim_1P	0.0	0.0
SRR1296879.trim_1P	0.0	0.0
SRR1296880.trim_1P	0.0	0.0
SRR1296881.trim_1P	0.0	0.0
SRR1296882.trim_1P	0.0	0.0
SRR1296883.trim_1P	0.0	0.0
SRR1296884.trim_1P	0.0	0.0
SRR1296885.trim_1P	0.0	0.0
SRR1296886.trim_1P	0.0	0.0
SRR1296887.trim_1P	0.0	0.0
SRR1296888.trim_1P	0.0	0.0
SRR1296889.trim_1P	0.0	0.0
SRR1296890.trim_1P	0.0	0.0
SRR1296891.trim_1P	0.0	0.0
SRR1296892.trim_1P	0.0	0.0
SRR1296893.trim_1P	0.0	0.0
SRR1296894.trim_1P	0.0	0.0
SRR1296895.trim_1P	0.0	0.0
SRR1296896.trim_1P	0.0	0.0
SRR1296897.trim_1P	0.0	0.0
SRR1296898.trim_1P	0.0	0.0
SRR1296899.trim_1P	0.0	0.0
SRR1296900.trim_1P	0.0	0.0
SRR1296901.trim_1P	0.0	0.0
SRR1296902.trim_1P	0.0	0.0
SRR1296903.trim_1P	0.0	0.0
SRR1296904.trim_1P	0.0	0.0
SRR1296905.trim_1P	0.0	0.0
SRR1296906.trim_1P	0.0	0.0
SRR1296907.trim_1P	0.0	0.0
SRR1296908.trim_1P	0.0	0.0
SRR1296909.trim_1P	0.0	0.0
SRR1296910.trim_1P	0.0	0.0
SRR1296911.trim_1P	0.0	0.0
SRR1296912.trim_1P	0.0	0.0
SRR1296913.trim_1P	0.0	0.0
SRR1296914.trim_1P	0.0	0.12710281406298318
SRR1296915.trim_1P	0.0	0.10083737380931254
SRR1296916.trim_1P	0.0	0.0
SRR1296917.trim_1P	0.0	0.0
SRR1296918.trim_1P	0.0	0.0
SRR1296919.trim_1P	0.0	0.0
SRR1296920.trim_1P	0.0	0.0
SRR1296921.trim_1P	0.0	0.0
SRR1296922.trim_1P	0.0	0.0
SRR1296923.trim_1P	0.0	0.0
SRR1296924.trim_1P	0.0	0.0
SRR1296925.trim_1P	0.0	0.0
SRR1296926.trim_1P	0.0	0.0
SRR1296927.trim_1P	0.0	0.0
SRR1296928.trim_1P	0.0	0.0
SRR1296929.trim_1P	0.0	0.0
SRR1296930.trim_1P	0.0	0.0
SRR1296931.trim_1P	0.0	0.0
SRR1296932.trim_1P	0.0	0.0
SRR1296933.trim_1P	0.0	0.0
SRR1296934.trim_1P	0.0	0.0
SRR1296935.trim_1P	0.0	0.0
SRR1296936.trim_1P	0.0	0.0
SRR1296937.trim_1P	0.10133563083548301	0.10402494149792745
SRR1296938.trim_1P	2.2356838206982848	0.20397304280213424
SRR1296939.trim_1P	1.3375614077945088	0.2163237492563272
SRR1296940.trim_1P	0.0	0.0
SRR1296941.trim_1P	0.0	0.0
SRR1296942.trim_1P	0.0	0.0
SRR1296943.trim_1P	0.0	0.0
SRR1296944.trim_1P	0.0	0.0
SRR1296945.trim_1P	0.0	0.0
SRR1296946.trim_1P	0.0	0.0
SRR1296947.trim_1P	0.0	0.0
SRR1296948.trim_1P	0.0	0.0
SRR1296949.trim_1P	0.0	0.0
SRR1296950.trim_1P	0.0	0.0
SRR1296951.trim_1P	0.10053089065305748	0.1779336827119491
SRR1296952.trim_1P	0.0	0.0
SRR1296953.trim_1P	0.0	0.0
SRR1296954.trim_1P	0.1310179989533938	0.1766469825176131
SRR1296955.trim_1P	0.0	0.0
