MMETSP ID,Phylum,Class,Family,Genus,Species,Strain,Clonal *,Axenic *,PCRamp,Principle Investgator(s)
MMETSP1443,Bacillariophyta,Bacillariophyceae,Entomoneidaceae,Entomoneis,sp.,CCMP2396,Yes,No,No, Mike Preston
MMETSP1176,Bacillariophyta,Bacillariophyceae/Fragilariophyceae,Fragilariaceae,Synedropsis,recta cf,CCMP1620,No,No,No, Willie Wilson
MMETSP1437,Bacillariophyta,Coscinodiscophyceae,Hemiaulaceae,Eucampia,antarctica,CCMP1452,Yes,Unknown,No, Mike Preston
MMETSP0321,Bacillariophyta,Coscinodiscophyceae,Leptocylindraceae,Leptocylindrus,danicus var. danicus,B650,Yes,No,No, ADRIANA ZINGONE
MMETSP0322,Bacillariophyta,Coscinodiscophyceae,Leptocylindraceae,Leptocylindrus,danicus var. apora,B651,Yes,No,No, ADRIANA ZINGONE
MMETSP1362,Bacillariophyta,Coscinodiscophyceae,Leptocylindraceae,Leptocylindrus,danicus,CCMP1856,Unknown,No,No, E. Virginia Armbrust
MMETSP1360,Bacillariophyta,Bacillariophyceae,Licmophoraceae,Licmophora,paradoxa,CCMP2313,Unknown,No,No, E. Virginia Armbrust
MMETSP0998,Bacillariophyta,Coscinodiscophyceae,Lithodesmiaceae,Ditylum,brightwellii,GSO105,Yes,Yes,No, Tatiana Rynearson
MMETSP1001,Bacillariophyta,Coscinodiscophyceae,Lithodesmiaceae,Ditylum,brightwellii,GSO105,Yes,Yes,No, Tatiana Rynearson
MMETSP1062,Bacillariophyta,Coscinodiscophyceae,Lithodesmiaceae,Ditylum,brightwellii,Pop1 (SS4),Yes,No,No, E. Virginia Armbrust
MMETSP1063,Bacillariophyta,Coscinodiscophyceae,Lithodesmiaceae,Ditylum,brightwellii,Pop2 (SS10),Yes,No,No, E. Virginia Armbrust
MMETSP1442,Ochrophyta,Bacillariophyceae,Naviculaceae,Craspedostauros,australis,CCMP3328,Yes,No,No, Mike Preston
MMETSP0174,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniaceae,Proboscia,alata,PI-D3,Yes,No,No, Bank Beszteri
MMETSP0176,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniaceae,Proboscia,alata,PI-D3,Yes,No,No, Bank Beszteri
MMETSP0580,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniaceae,Dactyliosolen,fragilissimus,,Yes,Yes,No, Robert Olson
MMETSP0789,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniaceae,Rhizosolenia,setigera,CCMP 1694,Unknown,Unknown,No, E. Virginia Armbrust
MMETSP0816,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniaceae,Proboscia,inermis,CCAP1064/1,Yes,No,No, Thomas Mock
MMETSP0013,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Skeletonema,costatum,1716,Unknown,No,No, E. Virginia Armbrust
MMETSP0319,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Skeletonema,marinoi,SM1012Hels-07,Yes,No,No, Satoshi Nagai
MMETSP0320,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Skeletonema,marinoi,SM1012Den-03,Yes,No,No, Satoshi Nagai
MMETSP0403,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,rotula,CCMP3096,Yes,Yes,No, Bethany Jenkins
MMETSP0404,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,rotula,CCMP3096,Yes,Yes,No, Bethany Jenkins
MMETSP0492,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,gravida,GMp14c1,Yes,No,No, Tatiana Rynearson
MMETSP0493,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,gravida,GMp14c1,Yes,No,No, Tatiana Rynearson
MMETSP0494,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,gravida,GMp14c1,Yes,No,No, Tatiana Rynearson
MMETSP0562,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Skeletonema,dohrnii,SkelB,Yes,No,No, Tatiana Rynearson
MMETSP0563,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Skeletonema,dohrnii,SkelB,Yes,No,No, Tatiana Rynearson
MMETSP0578,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Skeletonema,grethea,CCMP 1804,Yes,No,No, Tatiana Rynearson
MMETSP0593,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Skeletonema,japonicum,CCMP2506,Yes,No,No, Tatiana Rynearson
MMETSP0603,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Skeletonema,menzelii,CCMP793,Yes,No,No, Tatiana Rynearson
MMETSP0604,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Skeletonema,menzelii,CCMP793,Yes,No,No, Tatiana Rynearson
MMETSP0737,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,miniscula,CCMP1093,Yes,No,No, Sarah Smith
MMETSP0738,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,miniscula,CCMP1093,Yes,No,No, Sarah Smith
MMETSP0739,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,miniscula,CCMP1093,Yes,No,No, Sarah Smith
MMETSP0740,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,miniscula,CCMP1093,Yes,No,No, Sarah Smith
MMETSP0878,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,weissflogii,CCMP1336,Yes,No,No, Francois Morel
MMETSP0879,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,weissflogii,CCMP1336,Yes,No,No, Francois Morel
MMETSP0880,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,weissflogii,CCMP1336,Yes,No,No, Francois Morel
MMETSP0881,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,weissflogii,CCMP1336,Yes,No,No, Francois Morel
MMETSP0898,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,weissflogii,CCMP1010,Yes,Yes,No, Bethany Jenkins
MMETSP0899,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,weissflogii,CCMP1010,Yes,Yes,No, Bethany Jenkins
MMETSP0900,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,weissflogii,CCMP1010,Yes,Yes,No, Bethany Jenkins
MMETSP0901,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,weissflogii,CCMP1010,Yes,Yes,No, Bethany Jenkins
MMETSP0902,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,antarctica,CCMP982,Yes,No,No, Thomas Mock
MMETSP0903,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,antarctica,CCMP982,Yes,No,No, Thomas Mock
MMETSP0904,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,antarctica,CCMP982,Yes,No,No, Thomas Mock
MMETSP0905,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,antarctica,CCMP982,Yes,No,No, Thomas Mock
MMETSP0910,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,rotula,GSO102,Yes,Yes,No, Tatiana Rynearson
MMETSP0911,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,rotula,GSO102,Yes,Yes,No, Tatiana Rynearson
MMETSP0912,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,rotula,GSO102,Yes,Yes,No, Tatiana Rynearson
MMETSP0913,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,rotula,GSO102,Yes,Yes,No, Tatiana Rynearson
MMETSP0918,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Skeletonema,marinoi,skelA,Yes,No,No, Tatiana Rynearson
MMETSP0920,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Skeletonema,marinoi,skelA,Yes,No,No, Tatiana Rynearson
MMETSP0970,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,oceanica,CCMP1005,Yes,Yes,No, Bethany Jenkins
MMETSP0971,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,oceanica,CCMP1005,Yes,Yes,No, Bethany Jenkins
MMETSP0972,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,oceanica,CCMP1005,Yes,Yes,No, Bethany Jenkins
MMETSP0973,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,oceanica,CCMP1005,Yes,Yes,No, Bethany Jenkins
MMETSP1039,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Skeletonema,marinoi,FE7,Yes,No,No, Giovanna Romano
MMETSP1040,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Skeletonema,marinoi,FE60,Yes,No,No, Giovanna Romano
MMETSP1057,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Cyclotella,meneghiniana,CCMP 338,Yes,No,No, E. Virginia Armbrust
MMETSP1058,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Detonula,confervacea,CCMP 353,Yes,No,No, E. Virginia Armbrust
MMETSP1059,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,sp.,FW,Yes,No,No, E. Virginia Armbrust
MMETSP1067,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,punctigera,Tpunct2005C2,Yes,No,No, E. Virginia Armbrust
MMETSP1071,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,sp.,NH16,Yes,No,No, E. Virginia Armbrust
MMETSP1405,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,weissflogii,CCMP1010,Yes,Yes,No, Bethany Jenkins
MMETSP1406,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,weissflogii,CCMP1010,Yes,Yes,No, Bethany Jenkins
MMETSP1407,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,weissflogii,CCMP1010,Yes,Yes,No, Bethany Jenkins
MMETSP1408,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,weissflogii,CCMP1010,Yes,Yes,No, Bethany Jenkins
MMETSP1409,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,weissflogii,CCMP1010,Yes,Yes,No, Bethany Jenkins
MMETSP1410,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,weissflogii,CCMP1010,Yes,Yes,No, Bethany Jenkins
MMETSP1411,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,weissflogii,CCMP1010,Yes,Yes,No, Bethany Jenkins
MMETSP1412,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,weissflogii,CCMP1010,Yes,Yes,No, Bethany Jenkins
MMETSP1413,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,weissflogii,CCMP1010,Yes,Yes,No, Bethany Jenkins
MMETSP1414,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,weissflogii,CCMP1010,Yes,Yes,No, Bethany Jenkins
MMETSP1415,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,weissflogii,CCMP1010,Yes,Yes,No, Bethany Jenkins
MMETSP1416,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,weissflogii,CCMP1010,Yes,Yes,No, Bethany Jenkins
MMETSP1417,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,weissflogii,CCMP1010,Yes,Yes,No, Bethany Jenkins
MMETSP1418,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,weissflogii,CCMP1010,Yes,Yes,No, Bethany Jenkins
MMETSP1419,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,weissflogii,CCMP1010,Yes,Yes,No, Bethany Jenkins
MMETSP1420,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,weissflogii,CCMP1010,Yes,Yes,No, Bethany Jenkins
MMETSP1421,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,weissflogii,CCMP1010,Yes,Yes,No, Bethany Jenkins
MMETSP1422,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,weissflogii,CCMP1010,Yes,Yes,No, Bethany Jenkins
MMETSP1428,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Skeletonema,marinoi,UNC1201,Unknown,No,No, Adrian Marchetti
MMETSP1352,Bacillariophyta,Bacillariophyceae,Stauroneidaceae,Stauroneis,constricta,CCMP1120,Unknown,No,No, Willie Wilson
MMETSP0794,Bacillariophyta,Coscinodiscophyceae,Stephanopyxidacea,Stephanopyxis,turris,CCMP 815,Unknown,No,No, E. Virginia Armbrust
MMETSP0009,Bacillariophyta,Bacillariophyceae,Striatellaceae,Grammatophora,oceanica,CCMP 410,Unknown,No,No, E. Virginia Armbrust
MMETSP0800,Bacillariophyta,Bacillariophyceae,Striatellaceae,Striatella,unipunctata,CCMP2910,Unknown,No,No, E. Virginia Armbrust
MMETSP1434,Bacillariophyta,Bacillariophyceae,Thalassiosiraceae,Minutocellus,polymorphus,CCMP3303,Yes,No,No, Mike Preston
MMETSP1175,Bacillariophyta,Bacillariophyceae,Triceratiaceae,Triceratium,dubium,CCMP147,Unknown,No,No, Willie Wilson
MMETSP0015,Bacillariophyta,Coscinodiscophyceae,Triceratiaceae,Odontella,aurita,isolate 1302-5,Unknown,No,No, E. Virginia Armbrust
MMETSP0160,Bacillariophyta,Coscinodiscophyceae,Triceratiaceae,Odontella,Sinensis,Grunow 1884,Yes,No,No, Declan Schroeder
