,false_crbb_num_transcripts
MMETSP1005,7891
MMETSP0528,94671
MMETSP1407,8068
MMETSP0468,27769
MMETSP0905,9907
MMETSP0288,12099
MMETSP0209,12869
MMETSP1380,14210
MMETSP1355,24207
MMETSP0359,61620
MMETSP1059,3733
MMETSP1115,35358
MMETSP0190,30905
MMETSP0997,25301
MMETSP1144,8013
MMETSP0470,28057
MMETSP1178,2810
MMETSP1471,6566
MMETSP1064,6209
MMETSP1467,11580
MMETSP1327,3343
MMETSP0127,46152
MMETSP0151,24133
MMETSP0802,252
MMETSP0943,13119
MMETSP0924,18506
MMETSP0225,470
MMETSP0042,5404
MMETSP0451,3002
MMETSP0213,15042
MMETSP1416,6047
MMETSP0881,5444
MMETSP1320,10407
MMETSP0290,20871
MMETSP0593,7869
MMETSP0117,85814
MMETSP0996,27101
MMETSP1104,20099
MMETSP0914,17288
MMETSP0759,1533
MMETSP1364,14254
MMETSP0958,515
MMETSP0087,19698
MMETSP1117,31545
MMETSP0884,11301
MMETSP1470,16152
MMETSP1165,828
MMETSP1401,3186
MMETSP1466,12472
MMETSP0142,216
MMETSP1374,33726
MMETSP0384,124330
MMETSP0887,11538
MMETSP0784,49510
MMETSP0814,17647
MMETSP1443,6650
MMETSP1124,34814
MMETSP1048,20426
MMETSP0045,1666
MMETSP1089,21114
MMETSP0907,15118
MMETSP0909,681
MMETSP0706,12225
MMETSP0798,24965
MMETSP0961,83
MMETSP0990,22984
MMETSP0011,5050
MMETSP0126,67899
MMETSP0449,6298
MMETSP1385,413
MMETSP0271,68567
MMETSP0809,28174
MMETSP0171,11185
MMETSP1110,79062
MMETSP0852,441
MMETSP1406,6831
MMETSP1061,4225
MMETSP0991,20541
MMETSP0019,7883
MMETSP0053,57913
MMETSP1439,52137
MMETSP1408,5410
MMETSP0727,13610
MMETSP0267,44947
MMETSP1415,7781
MMETSP0259,19378
MMETSP0198,6596
MMETSP0258,17830
MMETSP1103,6421
MMETSP0985,8258
MMETSP1414,7095
MMETSP0892,10997
MMETSP0372,667
MMETSP1469,3579
MMETSP1032,56486
MMETSP0058,16652
MMETSP0313,8095
MMETSP0015,36694
MMETSP0191,45320
MMETSP0810,37637
MMETSP1070,6628
MMETSP1459,5245
MMETSP1349,3266
MMETSP0929,849
MMETSP0156,6552
MMETSP0041,15675
MMETSP1084,3606
MMETSP0819,12928
MMETSP0286,9095
MMETSP0959,5135
MMETSP0316,8624
MMETSP0321,3389
MMETSP1404,4113
MMETSP1171,6897
MMETSP1043,25603
MMETSP0726,13492
MMETSP0292,18899
MMETSP1359,8544
MMETSP1175,28377
MMETSP1419,5615
MMETSP1129,10652
MMETSP1366,10469
MMETSP0937,124
MMETSP1010,227
MMETSP0040,13255
MMETSP1473,337
MMETSP1423,663
MMETSP1055,636
MMETSP0186,2012
MMETSP1040,940
MMETSP0987,34444
MMETSP1132,11367
MMETSP1065,5886
MMETSP1475,666
MMETSP0116,61936
MMETSP0097,45317
MMETSP1413,7826
MMETSP0945,13765
MMETSP0811,37881
MMETSP0017,24653
MMETSP0900,5886
MMETSP0917,12876
MMETSP1008,22853
MMETSP0649,70728
MMETSP0119,48148
MMETSP0785,163
MMETSP0113,191
MMETSP0371,14068
MMETSP1399,1390
MMETSP0319,82
MMETSP0052,6834
MMETSP0154,13161
MMETSP0101,27174
MMETSP0145,48495
MMETSP1436,91310
MMETSP0039,117665
MMETSP1429,2821
MMETSP0853,6996
MMETSP0947,15468
MMETSP0737,9260
MMETSP0894,10544
MMETSP0903,11582
MMETSP0228,14216
MMETSP0471,30710
MMETSP1074,60574
MMETSP0090,5038
MMETSP0007,5599
MMETSP0912,213
MMETSP0708,7258
MMETSP0030,50985
MMETSP1153,14984
MMETSP1114,25676
MMETSP0107,21766
MMETSP0100,5467
MMETSP1139,11359
MMETSP0898,5814
MMETSP1468,16861
MMETSP0417,3985
MMETSP1442,4426
MMETSP1365,12767
MMETSP0013,13617
MMETSP0216,25825
MMETSP1052,18087
MMETSP0578,6710
MMETSP1155,13086
MMETSP1090,16550
MMETSP1167,15408
MMETSP1360,8895
MMETSP0885,10081
MMETSP1387,1567
MMETSP0114,21702
MMETSP0347,45126
MMETSP0102,14701
MMETSP0902,12649
MMETSP0005,9950
MMETSP1389,24331
MMETSP0740,12895
MMETSP0272,65673
MMETSP1036,74682
MMETSP1086,1251
MMETSP1147,995
MMETSP0103,32426
MMETSP1317,7061
MMETSP0047,46382
MMETSP0803,14439
MMETSP0318,11566
MMETSP1060,5175
MMETSP1138,19290
MMETSP0233,6836
MMETSP0112,9532
MMETSP1136,21421
MMETSP0718,1889
MMETSP0095,51191
MMETSP1173,7220
MMETSP1143,10461
MMETSP0167,7119
MMETSP0790,73682
MMETSP0369,46532
MMETSP1137,712
MMETSP0918,8185
MMETSP0004,12265
MMETSP1402,6272
MMETSP1166,19173
MMETSP1015,67129
MMETSP1157,13284
MMETSP1451,17903
MMETSP1456,2586
MMETSP0954,5231
MMETSP1095,1633
MMETSP0018,1103
MMETSP0733,15226
MMETSP1054,13121
MMETSP0491,17410
MMETSP0595,10819
MMETSP0957,5771
MMETSP1422,7196
MMETSP0120,40666
MMETSP0467,74893
MMETSP0314,7001
MMETSP0006,22569
MMETSP0799,40297
