,MMETSP_id,NCGR,DIB
205,MMETSP0235,68,4658
206,MMETSP1397,1220,4237
207,MMETSP0169,4530,3681
208,MMETSP0007,849,2721
209,MMETSP0852,815,3060
210,MMETSP0944,1287,4730
211,MMETSP1456,753,2526
212,MMETSP0190,1581,10840
213,MMETSP0853,771,2973
214,MMETSP0234,174,3497
215,MMETSP1396,1770,9036
216,MMETSP1424,997,4467
217,MMETSP1057,7697,24
218,MMETSP1139,860,3467
219,MMETSP1140,984,3697
220,MMETSP1433,1003,3941
221,MMETSP0223,10,309
222,MMETSP0290,969,4947
223,MMETSP1473,797,3075
224,MMETSP1339,901,3858
225,MMETSP1065,1228,4254
226,MMETSP1401,880,2459
227,MMETSP0913,694,1886
228,MMETSP0918,1088,3772
229,MMETSP0885,1693,4783
230,MMETSP0818,1915,6374
231,MMETSP1081,942,4600
232,MMETSP0206,800,4879
233,MMETSP1165,1305,4897
234,MMETSP0892,617,3622
235,MMETSP0904,986,3629
