,MMETSP_id,NCGR,DIB
204,MMETSP1354,889,3568
205,MMETSP1415,1016,3337
206,MMETSP0891,723,3004
207,MMETSP1166,1627,7430
208,MMETSP0785,1479,2361
209,MMETSP1008,1758,6852
210,MMETSP0907,1692,5149
211,MMETSP0152,1373,3626
212,MMETSP1467,1432,4866
213,MMETSP1326,2548,8259
214,MMETSP1114,1901,5742
215,MMETSP0661,2465,24569
216,MMETSP0975,2054,3250
217,MMETSP1082,769,2546
218,MMETSP1402,1009,3636
219,MMETSP1171,512,2114
220,MMETSP1470,2146,9130
221,MMETSP1066,1275,4951
222,MMETSP0807,600,2679
223,MMETSP1103,630,2297
224,MMETSP0713,801,3077
225,MMETSP0977,1461,3584
226,MMETSP1080,1525,3012
227,MMETSP0819,1946,6541
228,MMETSP1116,1468,4876
229,MMETSP1001,843,3026
230,MMETSP0905,1071,3302
231,MMETSP0150,969,2755
232,MMETSP0893,773,3525
233,MMETSP1164,1380,4309
234,MMETSP0998,890,3262
235,MMETSP1064,742,2992
236,MMETSP1338,2007,7637
237,MMETSP1472,573,1845
238,MMETSP1333,1387,7988
239,MMETSP1180,498,2732
240,MMETSP0912,6196,95
241,MMETSP1178,1951,2861
242,MMETSP1400,876,2811
243,MMETSP1440,3114,7897
244,MMETSP1138,2269,5969
245,MMETSP1432,631,2252
246,MMETSP0563,1217,3932
247,MMETSP0347,588,9207
248,MMETSP0229,27,26
249,MMETSP0468,1327,5068
250,MMETSP1124,1331,5160
251,MMETSP0820,1897,6293
252,MMETSP0086,1869,4743
253,MMETSP0945,1151,4668
254,MMETSP0110,1102,2910
255,MMETSP1425,1094,4891
256,MMETSP0235,68,4658
257,MMETSP1397,1220,4237
258,MMETSP0169,4530,3681
259,MMETSP0007,849,2721
260,MMETSP0852,815,3060
261,MMETSP0937,5291,65
262,MMETSP0111,1648,5491
263,MMETSP0944,1287,4730
264,MMETSP1456,753,2526
265,MMETSP0491,2431,5803
266,MMETSP0936,824,1840
267,MMETSP0190,1581,10840
268,MMETSP0853,771,2973
269,MMETSP0234,174,3497
270,MMETSP1396,1770,9036
271,MMETSP1424,997,4467
272,MMETSP1057,7697,24
273,MMETSP1139,860,3467
274,MMETSP1441,3563,9396
275,MMETSP1140,984,3697
276,MMETSP0011,895,10421
277,MMETSP1433,1003,3941
278,MMETSP0223,10,309
279,MMETSP0290,969,4947
280,MMETSP1473,797,3075
281,MMETSP1339,901,3858
282,MMETSP1065,1228,4254
283,MMETSP1401,880,2459
284,MMETSP0913,694,1886
285,MMETSP0918,1088,3772
286,MMETSP0885,1693,4783
287,MMETSP1117,1435,4633
288,MMETSP0818,1915,6374
289,MMETSP1081,942,4600
290,MMETSP0206,800,4879
291,MMETSP1165,1305,4897
292,MMETSP0892,617,3622
293,MMETSP0786,1449,2647
294,MMETSP0151,1677,8209
295,MMETSP0904,986,3629
