,kept,total,perc_kept,num_kmers,fp_rate
MMETSP0007,12104182,40343316,30.0%,65289000,0.000
MMETSP1319,13556885,43279248,31.3%,63151700,0.000
MMETSP0114,17110040,61682960,27.7%,90931030,0.000
MMETSP1413,17644238,37860045,46.6%,75931046,0.000
MMETSP1152,22455646,56771477,39.6%,94424174,0.000
MMETSP0015,12493704,41783874,29.9%,184675881,0.001
MMETSP1401,14191590,43276426,32.8%,67494972,0.000
MMETSP0815,24729416,72013300,34.3%,123659493,0.000
MMETSP0809,19352448,39241711,49.3%,141270912,0.000
MMETSP0039,13100160,27420192,47.8%,236173566,0.002
MMETSP0323,14430299,40098893,36.0%,82383766,0.000
MMETSP0933,12204746,54574792,22.4%,46464032,0.000
MMETSP0294,21671237,62314228,34.8%,117745093,0.000
MMETSP1460,12509849,55761142,22.4%,66091688,0.000
MMETSP1006,11492270,27016770,42.5%,65234633,0.000
MMETSP0411,12548725,32322479,38.8%,91912781,0.000
MMETSP0413,15282670,49734629,30.7%,65528724,0.000
MMETSP0166,13890098,74453891,18.7%,65753402,0.000
MMETSP1071,28386663,71935618,39.5%,134757709,0.000
MMETSP0910,13438726,28299680,47.5%,59717416,0.000
MMETSP1085,10844753,36539081,29.7%,54185791,0.000
MMETSP0205,14404616,55635048,25.9%,83333763,0.000
MMETSP0807,3969047,32396631,12.3%,38474008,0.000
MMETSP0956,11984755,55233233,21.7%,62606903,0.000
MMETSP0151,493874,649485,76.0%,7055636,0.000
MMETSP1317,10057089,45186016,22.3%,71483824,0.000
MMETSP0697,30328502,64455630,47.1%,156292647,0.000
MMETSP0108,29072208,76138260,38.2%,146189891,0.000
MMETSP0752,21495194,53253953,40.4%,70115094,0.000
MMETSP0974,20714127,54240315,38.2%,92855136,0.000
MMETSP0746,15156688,48887994,31.0%,63915679,0.000
MMETSP0125,18999661,73567900,25.8%,91341007,0.000
MMETSP0164,22659194,53159866,42.6%,158997405,0.000
MMETSP1336,12867821,29871406,43.1%,48216013,0.000
MMETSP0883,13985576,34014326,41.1%,60482351,0.000
MMETSP1039,16363606,62564005,26.2%,67787848,0.000
MMETSP1035,48312803,81203509,59.5%,226649712,0.002
MMETSP0794,16245161,28634882,56.7%,90787793,0.000
MMETSP0404,22555305,52264418,43.2%,88530977,0.000
MMETSP1057,29070263,84633680,34.3%,106952657,0.000
MMETSP0879,21377736,50404732,42.4%,76245469,0.000
MMETSP0472,37790335,57397096,65.8%,313189924,0.005
