,total_annotated_contigs,unique_annotations,annotations_w_false_crbb,total_OrthoDB,unique_OrthoDB,false_crbb_OrthoDB,total_Pfam,unique_Pfam,false_crbb_Pfam,total_Rfam,unique_Rfam,false_crbb_Rfam
MMETSP0818,32154,17862,2615,22083,13036,2013,48610,7136,710,103,36,9
MMETSP0819,31896,17832,2772,22014,12987,2155,47646,7195,711,161,54,14
MMETSP0820,31299,17716,2412,21986,12979,1872,49170,7053,605,121,45,7
MMETSP0850,20590,9269,,9613,5405,,28497,4688,,611,197,
MMETSP0851,90748,35655,,37990,21763,,107140,17226,,1210,363,
MMETSP0852,22628,9524,81,10376,5852,58,29045,5026,22,437,137,1
MMETSP0853,20694,9575,1422,9793,5528,887,28541,4833,529,683,212,49
MMETSP0878,26370,11630,45,11983,7087,28,39825,5900,19,216,61,0
MMETSP0879,26475,11778,704,12223,7253,483,40557,5919,258,94,22,7
MMETSP0880,26285,11545,30,11872,7024,19,38522,5832,9,172,44,1
MMETSP0881,26546,11569,739,11998,7118,473,39786,5892,310,203,58,21
MMETSP0882,31151,18042,,23294,14424,,43495,5711,,58,20,
MMETSP0883,29304,16999,,21790,13464,,41733,5378,,45,18,
MMETSP0884,30126,17779,2587,22652,14177,1999,42969,5542,646,62,21,8
MMETSP0885,31242,18327,2242,23598,14830,1733,45300,5718,556,48,21,4
MMETSP0886,20332,10919,143,12833,7546,88,36360,4350,56,117,37,0
MMETSP0887,22507,12838,2207,14827,8477,1324,43458,5294,965,101,33,7
MMETSP0888,24164,13917,1564,16614,9527,1010,51700,5857,611,131,52,10
MMETSP0889,21052,12636,2095,14403,8453,1307,44120,5017,863,95,26,10
MMETSP0890,19058,9216,243,7646,4725,116,30419,5190,128,103,33,4
MMETSP0891,17414,9250,906,8129,5082,692,39174,5210,313,108,33,2
MMETSP0892,19486,8962,2073,7414,4644,1066,26816,4965,1077,92,32,8
MMETSP0893,20424,9329,790,8068,5093,472,30011,5342,345,86,29,8
MMETSP0894,19057,11082,2460,12360,7528,1709,28376,4604,818,92,31,3
MMETSP0895,16223,10217,2288,11552,7283,1706,23939,3774,641,153,55,12
MMETSP0896,13818,8604,,9753,6190,,22203,3135,,83,33,
MMETSP0897,13308,8243,,9593,6055,,17782,3060,,175,66,
MMETSP0898,27883,11932,894,12494,7492,580,39927,6061,348,89,23,7
MMETSP0899,27817,11793,908,12467,7456,611,39440,6090,339,113,29,6
MMETSP0900,27563,11701,873,12486,7440,590,39666,6103,321,117,34,4
MMETSP0901,26733,11480,947,11999,7142,601,37888,5869,403,91,24,7
MMETSP0902,33500,12782,1846,12889,7254,1012,40439,7293,950,234,63,11
MMETSP0903,33878,13013,1596,13034,7321,890,42873,7403,819,101,25,9
MMETSP0904,30631,12965,2194,12241,7186,1323,37966,7196,935,545,171,50
MMETSP0905,33557,13019,1408,13136,7393,816,42394,7457,700,450,139,24
MMETSP0906,38216,13534,2125,17083,8859,1477,36661,6832,738,439,204,48
MMETSP0907,39585,14103,2411,17435,9237,1690,35923,6726,847,247,119,43
MMETSP0908,37874,13593,2513,16579,8844,1736,34638,6409,929,208,94,33
MMETSP0909,32520,11565,130,14269,7516,85,28749,5828,46,534,200,1
MMETSP0910,30320,11805,2353,12722,6927,1439,33498,6174,1005,105,31,9
MMETSP0911,21168,8706,1235,8820,5085,797,20896,4624,462,330,90,17
MMETSP0912,814,341,49,363,187,27,674,207,22,0,0,0
MMETSP0913,17727,7378,698,7395,4325,492,16415,4034,218,292,91,20
MMETSP0914,34285,24630,4690,30107,21889,3999,43464,5068,811,84,22,4
MMETSP0915,30252,20831,3887,25712,18056,3227,39322,4863,750,62,22,6
MMETSP0916,29842,21050,3601,26013,18366,3052,37779,4723,626,66,20,5
MMETSP0917,29578,20665,3519,25653,18086,2933,39369,4748,671,110,35,12
