Run	Unique_kmers
SRR1300251	8508029
SRR1296829	20208865
SRR1296828	21884690
SRR1296719	13743808
SRR1296718	17511260
SRR1294421	21354627
SRR1296713	17463432
SRR1296712	122647779
SRR1296711	25870007
SRR1296710	28340476
SRR1296717	25495128
SRR1296716	29047025
SRR1296715	14113783
SRR1296714	102585778
SRR1294392	2306137
SRR1300506	9089785
SRR1296822	15081081
SRR1300507	11234332
SRR1296948	24477830
SRR1296949	14799274
SRR1300359	30745554
SRR1300358	31219102
SRR1300353	38649902
SRR1300352	26279764
SRR1300351	28320065
SRR1300350	21949434
SRR1300357	27958378
SRR1300356	34094822
SRR1300355	31485636
SRR1300354	28755619
SRR1296946	18311637
SRR1296947	24196173
SRR1296944	22289089
SRR1296945	20781318
SRR1296942	60682733
SRR1296943	74686441
SRR1296940	409922
SRR1296821	24630385
SRR1296820	29421931
SRR1296823	34014455
SRR1300509	11848917
SRR1296825	27196743
SRR1296824	26485088
SRR1296827	17005388
SRR1296826	23532262
SRR1300539	12186099
SRR1300538	22609157
SRR1300537	51695801
SRR1300535	9816859
SRR1300534	21892895
SRR1300533	21020158
SRR1300532	19515328
SRR1300531	11976855
SRR1300530	34254463
SRR1300436	12707399
SRR1300437	20527464
SRR1300434	38177098
SRR1300435	35271086
SRR1300432	49226854
SRR1300433	51447239
SRR1300430	47744549
SRR1300431	53659580
SRR1300438	16188724
SRR1300439	36299564
SRR1296846	16243560
SRR1296722	18364660
SRR1296723	21871908
SRR1296720	25532168
SRR1296721	21447771
SRR1296726	30181840
SRR1296727	39755748
SRR1296724	45255393
SRR1296725	21705302
SRR1296728	30917491
SRR1296729	26207078
SRR1294438	19320204
SRR1300222	10733710
SRR1300221	14493802
SRR1300220	5657575
SRR1300227	24661183
SRR1300226	29395400
SRR1300225	28847649
SRR1300224	13696416
SRR1294430	2839245
SRR1294431	2939421
SRR1294432	2897489
SRR1294433	8972777
SRR1294434	1301851
SRR1294435	1359273
SRR1300544	26795909
SRR1294437	51682212
SRR1294382	11185757
SRR1294383	12155304
SRR1294380	11031328
SRR1294381	11576949
SRR1294386	825990
SRR1294387	1187672
SRR1294384	22406889
SRR1294385	346391
SRR1294388	747961
SRR1294389	183100
SRR1296757	49739788
SRR1296756	14355698
SRR1296755	32981682
SRR1296754	57644815
SRR1296753	27331904
SRR1296752	52517410
SRR1296751	45612024
SRR1296750	111233439
SRR1296759	91002211
SRR1296758	46861906
SRR1300317	24589570
SRR1300316	27354245
SRR1300315	50337518
SRR1300314	47995131
SRR1300313	36328909
SRR1300312	6090831
SRR1300311	48062593
SRR1300310	13043124
SRR1300319	1673408
SRR1300318	25064481
SRR1296982	16494991
SRR1296983	14354388
SRR1296980	41833464
SRR1296981	30998530
SRR1296986	24376920
SRR1296987	26824756
SRR1296984	11935412
SRR1296985	13313384
SRR1296988	26517237
SRR1296989	16633493
SRR1296865	22881822
SRR1296864	26982595
SRR1296867	34018869
SRR1296866	58923220
SRR1296861	21557157
SRR1296860	24138987
SRR1296863	20173615
SRR1296862	13662984
SRR1296869	37327268
SRR1296868	21879210
SRR1300362	11938855
SRR1300363	22840536
SRR1300360	24346734
SRR1300361	12440651
SRR1300366	24153815
SRR1300367	15827729
SRR1300364	16104521
SRR1300365	13345917
SRR1296840	59915299
SRR1300368	18622092
SRR1300369	15530178
SRR1296919	27497228
SRR1296918	25358663
SRR1300485	27683066
SRR1300484	25663182
SRR1300483	25944255
SRR1300482	30659554
SRR1300481	30589195
SRR1300480	26613252
SRR1296911	32624584
SRR1296910	32189186
SRR1296913	22994049
SRR1296912	34360722
SRR1296915	22656868
SRR1296914	28952655
SRR1296917	25079667
SRR1296916	21520584
SRR1300269	16376469
SRR1300268	23748285
SRR1300267	49186637
SRR1300266	31208262
SRR1300265	35681149
SRR1300264	45999194
SRR1300263	73949057
SRR1300262	27045694
SRR1300261	27669917
SRR1300260	19468467
SRR1300469	143833
SRR1300468	458294
SRR1300504	21339851
SRR1300505	10303532
SRR1300503	72422798
SRR1300500	17711202
SRR1300501	4969829
SRR1300461	26963399
SRR1300460	24702237
SRR1300463	10453083
SRR1300462	22413595
SRR1300465	896560
SRR1300464	17022596
SRR1300508	19991058
SRR1300466	2038106
SRR1296990	19907561
SRR1300492	24603994
SRR1300259	22372787
SRR1300498	19178740
SRR1300218	10251423
SRR1300219	7061960
SRR1300499	26277130
SRR1300212	7449613
SRR1300213	18115083
SRR1300211	126234
SRR1300216	19342061
SRR1300217	11862679
SRR1300214	11358293
SRR1300215	526884
SRR1294463	30334
SRR1294462	27720
SRR1294461	164799
SRR1294460	17742968
SRR1294466	27986485
SRR1294465	29407629
SRR1294464	26624
SRR1296768	46161191
SRR1296769	12535037
SRR1296766	109434109
SRR1296767	20110679
SRR1296764	62556782
